,ds,y,yhat1,residual1,trend,season_yearly
0,2018-12-30,,23.399791717529297,,23.26189422607422,0.13789743185043335
1,2019-01-06,,23.426481246948242,,23.265295028686523,0.16118671000003815
2,2019-01-13,,23.427324295043945,,23.268693923950195,0.15863056480884552
3,2019-01-20,,23.39932632446289,,23.2720947265625,0.1272318810224533
4,2019-01-27,,23.352676391601562,,23.275493621826172,0.0771820992231369
5,2019-02-03,,23.306737899780273,,23.278894424438477,0.02784319594502449
6,2019-02-10,,23.281871795654297,,23.28229522705078,-0.00042226529330946505
7,2019-02-17,,23.290802001953125,,23.285694122314453,0.00510764354839921
8,2019-02-24,,23.33327293395996,,23.289094924926758,0.044178035110235214
9,2019-03-03,,23.39619255065918,,23.29249382019043,0.10369846224784851
10,2019-03-10,,23.45893669128418,,23.295894622802734,0.1630425751209259
11,2019-03-17,,23.501277923583984,,23.299293518066406,0.2019847333431244
12,2019-03-24,,23.510515213012695,,23.30269432067871,0.20782093703746796
13,2019-03-31,,23.484987258911133,,23.306093215942383,0.1788942515850067
14,2019-04-07,,23.433076858520508,,23.309494018554688,0.12358248978853226
15,2019-04-14,,23.368755340576172,,23.31289291381836,0.05586116388440132
16,2019-04-21,,23.30614471435547,,23.316293716430664,-0.01014960091561079
17,2019-04-28,,23.25545883178711,,23.31969451904297,-0.06423458456993103
18,2019-05-05,,23.221656799316406,,23.32309341430664,-0.10143623501062393
19,2019-05-12,,23.205509185791016,,23.326492309570312,-0.12098409235477448
20,2019-05-19,,23.205665588378906,,23.329893112182617,-0.12422775477170944
21,2019-05-26,,23.22011375427246,,23.333293914794922,-0.11317887157201767
22,2019-06-02,,23.2462100982666,,23.336692810058594,-0.09048325568437576
23,2019-06-09,,23.27965545654297,,23.3400936126709,-0.060437414795160294
24,2019-06-16,,23.313703536987305,,23.34349250793457,-0.029789209365844727
25,2019-06-23,,23.33983039855957,,23.346893310546875,-0.007062674034386873
26,2019-06-30,,23.350250244140625,,23.350292205810547,-4.3600404751487076e-05
27,2019-07-07,,23.34134864807129,,23.35369300842285,-0.012344799935817719
28,2019-07-14,,23.31622314453125,,23.357091903686523,-0.04086949676275253
29,2019-07-21,,23.284582138061523,,23.360492706298828,-0.07591063529253006
30,2019-07-28,,23.25940704345703,,23.3638916015625,-0.10448651760816574
31,2019-08-04,,23.25145721435547,,23.367292404174805,-0.11583589017391205
32,2019-08-11,,23.2640380859375,,23.37069320678711,-0.10665386915206909
33,2019-08-18,,23.290679931640625,,23.37409210205078,-0.08341185748577118
34,2019-08-25,,23.317264556884766,,23.377492904663086,-0.06022810935974121
35,2019-09-01,,23.328096389770508,,23.380891799926758,-0.052794892340898514
36,2019-09-08,,23.31342315673828,,23.384292602539062,-0.07086852192878723
37,2019-09-15,,23.27491569519043,,23.387691497802734,-0.1127755418419838
38,2019-09-22,,23.22636604309082,,23.39109230041504,-0.16472531855106354
39,2019-09-29,,23.188838958740234,,23.39449119567871,-0.20565345883369446
40,2019-10-06,,23.182125091552734,,23.397891998291016,-0.21576689183712006
41,2019-10-13,,23.216169357299805,,23.401290893554688,-0.1851230263710022
42,2019-10-20,,23.28632354736328,,23.404691696166992,-0.11836789548397064
43,2019-10-27,,23.37473487854004,,23.408092498779297,-0.03335661441087723
44,2019-11-03,,23.457401275634766,,23.41149139404297,0.04590953141450882
45,2019-11-10,,23.513893127441406,,23.414892196655273,0.09900218993425369
46,2019-11-17,,23.53545570373535,,23.418291091918945,0.11716402322053909
47,2019-11-24,,23.527894973754883,,23.42169189453125,0.1062033399939537
48,2019-12-01,,23.50804328918457,,23.425090789794922,0.08295179903507233
49,2019-12-08,,23.495466232299805,,23.428491592407227,0.06697572022676468
50,2019-12-15,,23.50326919555664,,23.4318904876709,0.07137826830148697
51,2019-12-22,,23.532194137573242,,23.435291290283203,0.09690368175506592
